AdditiveChi2Sampler, predict, predict_log_proba, predict_proba, decision_function, to_xgboost, to_lightgbm, score, kneighbors, fit_predict
Nystroem, predict, predict_log_proba, predict_proba, decision_function, to_xgboost, to_lightgbm, score, kneighbors, fit_predict
KernelRidge, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
SkewedChi2Sampler, predict, predict_log_proba, predict_proba, decision_function, to_xgboost, to_lightgbm, score, kneighbors, fit_predict
PolynomialCountSketch, predict, predict_log_proba, predict_proba, decision_function, to_xgboost, to_lightgbm, score, kneighbors, fit_predict
SVC, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
RBFSampler, predict, predict_log_proba, predict_proba, decision_function, to_xgboost, to_lightgbm, score, kneighbors, fit_predict
ARDRegression, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
HistGradientBoostingClassifier, predict_log_proba, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
LGBMClassifier, predict_log_proba, decision_function, transform, to_xgboost, to_sklearn, kneighbors, fit_predict
LinearSVC, predict_log_proba, predict_proba, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
OrthogonalMatchingPursuit, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
NearestNeighbors, predict, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, score, fit_predict
PoissonRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
Lars, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
Ridge, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
RandomForestClassifier, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
ExtraTreesRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
ComplementNB, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
MultiTaskElasticNetCV, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
Lasso, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
LinearSVR, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
PassiveAggressiveRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
Perceptron, predict_log_proba, predict_proba, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
MultiTaskElasticNet, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
RANSACRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
ColumnTransformer, predict, predict_log_proba, predict_proba, decision_function, to_xgboost, to_lightgbm, kneighbors, score, fit_predict
NeighborhoodComponentsAnalysis, predict, predict_log_proba, predict_proba, decision_function, to_xgboost, to_lightgbm, score, kneighbors, fit_predict
VotingRegressor, predict_log_proba, predict_proba, decision_function, to_xgboost, to_lightgbm, kneighbors, fit_predict
HuberRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
SGDClassifier, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
SGDOneClassSVM, predict_log_proba, predict_proba, transform, to_xgboost, to_lightgbm, score, kneighbors
TheilSenRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
SGDRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
TweedieRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
AdaBoostClassifier, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
BaggingClassifier, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
AdaBoostRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
BaggingRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
ExtraTreesClassifier, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
GradientBoostingClassifier, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
RidgeCV, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
NuSVC, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
IsolationForest, predict_log_proba, predict_proba, transform, to_xgboost, to_lightgbm, score, kneighbors
LarsCV, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
RadiusNeighborsRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
VotingClassifier, predict_log_proba, decision_function, to_xgboost, to_lightgbm, kneighbors, fit_predict
SVR, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
StackingRegressor, predict_log_proba, predict_proba, decision_function, to_xgboost, to_lightgbm, kneighbors, fit_predict
MultiTaskLassoCV, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
NuSVR, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
ExtraTreeClassifier, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
BernoulliRBM, predict, predict_log_proba, predict_proba, decision_function, to_xgboost, to_lightgbm, score, kneighbors, fit_predict
DBSCAN, predict, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, score, kneighbors
DecisionTreeRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
MLPClassifier, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
MLPRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
DecisionTreeClassifier, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
ExtraTreeRegressor, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
CalibratedClassifierCV, predict_log_proba, decision_function, transform, to_xgboost, to_lightgbm, kneighbors, fit_predict
AffinityPropagation, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, score, kneighbors
SpectralBiclustering, predict, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, score, kneighbors, fit_predict
AgglomerativeClustering, predict, predict_log_proba, predict_proba, decision_function, transform, to_xgboost, to_lightgbm, score, kneighbors
